year,month,zipcode,median_value,total_listed
2017,11,85009,153800,56
2017,11,85012,499950,74
2017,11,85013,327e3,112
2017,11,85014,336350,120
2017,11,85015,229950,113
2017,11,85016,436150,336
2017,11,85017,168274.75,41
2017,11,85018,763300,390
2017,11,85019,178337.5,37
2017,11,85020,320775,210
2017,11,85021,389050,132
2017,11,85022,310525,181
2017,11,85023,259625,92
2017,11,85024,299987.5,117
2017,11,85027,221800,97
2017,11,85028,399050,112
2017,11,85029,213300,127
2017,11,85031,169050,55
2017,11,85032,267225,228
2017,11,85033,172499.5,94
2017,11,85035,168900,58
2017,11,85037,19e4,98
2017,11,85040,171775,67
2017,11,85041,223275,156
2017,11,85042,25e4,170
2017,11,85043,199750,82
2017,11,85044,33e4,142
2017,11,85045,385e3,63
2017,11,85048,384250,177
2017,11,85050,362296.25,171
2017,11,85051,197375,120
2017,11,85053,225225,78
2017,11,85054,362050,62
2017,11,85083,389799.75,109
2017,11,85085,395671.25,173
2017,11,85086,380049.75,308
2017,11,85087,397524.75,78
2017,10,85003,440050,84
2017,10,85004,307050,65
2017,10,85006,294550,63
2017,10,85007,375050,60
2017,10,85008,259050,92
2017,10,85009,152550,53
2017,10,85012,496450,78
2017,10,85013,325050,112
2017,10,85014,344550,106
2017,10,85015,224050,104
2017,10,85016,46e4,289
2017,10,85017,166950,40
2017,10,85018,749050,386
2017,10,85019,176900,41
2017,10,85020,319050,199
2017,10,85021,372450,139
2017,10,85022,311274.5,183
2017,10,85023,249950,90
2017,10,85024,300050,117
2017,10,85027,221e3,95
2017,10,85028,400050,111
2017,10,85029,204950,122
2017,10,85031,170050,49
2017,10,85032,274950,218
2017,10,85033,17e4,89
2017,10,85035,169950,64
2017,10,85037,190050,99
2017,10,85040,167550,69
2017,10,85041,225050,171
2017,10,85042,262499.5,151
2017,10,85043,199550,82
2017,10,85044,329950,154
2017,10,85045,397050,65
2017,10,85048,389950,186
2017,10,85050,373050,168
2017,10,85051,189050,121
2017,10,85053,221e3,81
2017,10,85054,372500,56
2017,10,85083,414950,113
2017,10,85085,399050,173
2017,10,85086,379500,300
2017,10,85087,397050,78
2017,09,85003,399725,87
2017,09,85004,309e3,60
2017,09,85006,281725,75
2017,09,85007,356950,64
2017,09,85008,254050,92
2017,09,85009,152525,50
2017,09,85012,492200,75
2017,09,85013,335987.25,117
2017,09,85014,345625,113
2017,09,85015,218500,98
2017,09,85016,460487.5,289
2017,09,85017,170024.25,53
2017,09,85018,75e4,368
2017,09,85019,184650,40
2017,09,85020,323050,199
2017,09,85021,376300,143
2017,09,85022,318025,168
2017,09,85023,259925,93
2017,09,85024,299925,105
2017,09,85027,222272.5,89
2017,09,85028,398800,101
2017,09,85029,204975,109
2017,09,85031,165050,49
2017,09,85032,274400,206
2017,09,85033,169950,81
2017,09,85035,169974.75,65
2017,09,85037,191050,105
2017,09,85040,170723.75,60
2017,09,85041,229974.75,170
2017,09,85042,260549.5,162
2017,09,85043,198175,82
2017,09,85044,330975,150
2017,09,85045,365e3,70
2017,09,85048,388725,198
2017,09,85050,398025,167
2017,09,85051,182300,121
2017,09,85053,227500,76
2017,09,85054,36e4,56
2017,09,85083,392500,111
2017,09,85085,400898.75,175
2017,09,85086,366550,318
2017,09,85087,396050,75
2017,08,85003,402350,89
2017,08,85004,305050,62
2017,08,85006,283050,73
2017,08,85007,355900,62
2017,08,85008,283725,91
2017,08,85009,149449.5,54
2017,08,85012,456099.75,90
2017,08,85013,335050,119
2017,08,85014,309425,113
2017,08,85015,222025,97
2017,08,85016,416275,285
2017,08,85017,168524.5,55
2017,08,85018,752550,351
2017,08,85019,180150,38
2017,08,85020,352250,181
2017,08,85021,392050,146
2017,08,85022,329975,161
2017,08,85023,258550,98
2017,08,85024,295025,119
2017,08,85027,221175,73
2017,08,85028,398550,101
2017,08,85029,209300,108
2017,08,85031,165050,45
2017,08,85032,274450,214
2017,08,85033,168749.5,75
2017,08,85035,169050,60
2017,08,85037,191475,112
2017,08,85040,167775,58
2017,08,85041,225e3,175
2017,08,85042,269962.5,148
2017,08,85043,199525,80
2017,08,85044,329950,154
2017,08,85045,382550,72
2017,08,85048,392523.75,210
2017,08,85050,413250,162
2017,08,85051,186049.75,117
2017,08,85053,225050,70
2017,08,85054,372500,62
2017,08,85083,379175,108
2017,08,85085,411357.5,184
2017,08,85086,365e3,328
2017,08,85087,392891.5,69
2017,07,85003,429050,87
2017,07,85004,312050,60
2017,07,85006,295050,59
2017,07,85007,361050,65
2017,07,85008,272050,92
2017,07,85009,150050,58
2017,07,85012,449950,91
2017,07,85013,335050,117
2017,07,85014,320050,118
2017,07,85015,225050,96
2017,07,85016,415050,285
2017,07,85017,175050,48
2017,07,85018,768050,349
2017,07,85019,174499.5,34
2017,07,85020,349050,189
2017,07,85021,417050,144
2017,07,85022,329050,176
2017,07,85023,265050,99
2017,07,85024,299950,112
2017,07,85027,224950,79
2017,07,85028,388550,99
2017,07,85029,208299.5,107
2017,07,85031,165e3,46
2017,07,85032,272250,212
2017,07,85033,167050,88
2017,07,85035,169050,69
2017,07,85037,189050,113
2017,07,85040,17e4,54
2017,07,85041,224950,183
2017,07,85042,275036,164
2017,07,85043,199950,72
